Date read	Pubmed ID	Journal	Title	FulltextLink	PMC	Certainty	Notes to sentences	Reviewed	Annotated	Sentences
									x	Enteric bacteria use several quorum-sensing mechanisms, including the LuxR-I, LuxS/AI-2, and AI-3/epinephrine/norepinephrine systems, to recognize the host environment and communicate across species. Unlike the genomes of C. violaceum and the pathogenic Neisseria species which encode genes involved in LuxR-I and LuxS/AI-2 systems respectively, the L. hongkongensis genome does not encode genes of these 2 systems.
									x	aidA and tibA encode proteins of the autotransporter family, type V protein secretion system of Gram-negative bacteria.
Serena selected	32661122	Infection and Immunity	The Great ESKAPE: Exploring the Crossroads of Bile and Antibiotic Resistance in Bacterial Pathogens	https://journals.asm.org/doi/10.1128/IAI.00865-19?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y		Note: see table 1		x	Indeed, a repeating theme in the Enterobacteriaceae family is the use of AcrAB, found in Escherichia coli, Salmonella, Shigella, Klebsiella, and other pathogens, to resist both bile salts (24) and antibiotics (30, 31), thereby making it essential for survival under extreme environmental conditions.
							see Table 3 too		x	S. aureus encodes several efflux pumps, including NorA, NorB, NorC, and Tet38, that confer resistance to quinolones and tetracyclines (78).
									x	(S. aureus) Finally, methicillin resistance is mediated through the mecA gene that encodes a penicillin binding protein to resist β-lactam antibiotics (81).
									x	Finally, antibiotic resistance in K. pneumoniae is further facilitated by multiple efflux pumps, including AcrAB and KexD of the RND family, KdeA of the MATE family, and KmrA of the MFS family (96–99)
										Furthermore, the transcriptomic profile analysis of P. aeruginosa in the presence of 0.3% (wt/vol) bile shows upregulation of genes associated with metabolism (siaAD) redox control, biofilm formation (psl), antibiotic tolerance (mexAB-oprM), and cell envelope biogenesis
										Additional efflux pumps include EefABC, OqxAB, and members of the RND and MATE families, while outer membrane alterations also contribute to antibiotic resistance (147).
	16169927	Genome research	Coping with cold: the genome of the versatile marine Antarctica bacterium Pseudoalteromonas haloplanktis TAC125.	http://genome.cshlp.org/cgi/pmidlookup?view=long&pmid=16169927	Y				x	In the same way, the number of tRNA genes is quite high (106 genes), a feature in common with that in vibrios and in Photobacterium profundum (Table 1).
									x	The pattern of amino acid distribution in γ-proteobacteria from different biotopes (Supplemental Fig. 3) displays an overall trend similar in the various genomes of interest, with leucine (L) being most abundant, while tryptophan (W), cysteine (C), histidine (H), and to a lesser extent methionine (M) are used infrequently. The proteome of the thermophilic genomes looks significantly different from that of the mesophilic and psychrophilic counterparts (strong avoidance of glutamine [Q] in thermophilic species, preference for alanine [A] in mesophilic and psychrophilic species, except in Oceanobacillus iheyensis).
									x	The most unexpected feature of the genome is the prominent absence of a RNA/nucleoid-associated cold-shock gene ubiquitous in γ-proteobacteria, hns.
									x	The existence of a complete set of genes (including hns) was also observed in other marine and cold-adapted bacteria, including S. oneidensis (Heidelberg et al. 2002) and D. psychrophila (Rabus et al. 2004).
									x	As in vibrios, phosphoenolpyruvate synthase (ppsA) and phosphoenolpyruvate carboxylase (ppc) genes are located in chrII. However, ppsA is located in chrI in P. profundum.
									x	The MtnN(Pfs)/LuxS pathway leads to synthesis of the quorum sensing (QS) effector autoinducer-2 (AI-2). Xanthomonadales and Pseudomonadales aside, all γ-proteobacteria sequenced use that pathway.
									x	Amylase secretion required two accessory proteins, PSHAb0130 (possibly an outer membrane associated protein) and PSHAb0132, coding for a conserved secreted protein present in several phytopathogenic γ-proteobacteria.
	23749977	Journal of bacteriology	Large linear plasmids of Borrelia species that cause relapsing fever.	https://journals.asm.org/doi/10.1128/JB.00347-13?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y		plasmid DNA		x	Plasmid compatibility of the segmented Borrelia genome involves orthologous sets of proteins, one of which, designated Pfam32, is homologous to ParA, a plasmid partitioning protein found in other bacteria (14–16). Other Borrelia plasmid-encoded proteins of these sets, such as Pfam49, appear to be unique to this genus, are widely distributed on both linear and circular replicons, and presumably are also involved in replication and compatibility.
							plasmid DNA		x	The longer length of B. hermsii block I relative to B. turicatae block I is attributable to a higher number of repeated “P35” (Pfam54) homologs, a family of lipoproteins in LD Borrelia species (52).
							plasmid DNA			Some of the repeated ORFs, such as the “P35”-like coding sequences, were homologous to sequences in LD Borrelia species, while others, such as the repeats in region D, appeared to be unique to RF species.
							plasmid DNA		x	Our inference about a common ancestry for the large linear plasmids of RF Borrelia species was anticipated by prior findings of the nrdEFI genes on large plasmids across species
							plasmid DNA		x	The lp54 plasmids bear genes whose expression is regulated during the infectious cycle and that in their respective presence or absence distinguish LD species from RF species. These include OspA (bba15) and OspB (bba16) (69, 70) and DbpA (bba24) and DbpB (bba25) (71).
Serena	31906865	BMC Genomics	Whole genome sequencing of Borrelia miyamotoi isolate Izh-4: reference for a complex bacterial genome	N	https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/31906865/					NONE
	20802045	Journal of bacteriology	Comparative genomic characterization of Actinobacillus pleuropneumoniae.	https://journals.asm.org/doi/10.1128/JB.00535-10?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y				x	On the other hand, a cluster of genes coding for enzymes that catalyze the biosynthesis of O antigen were identified between the conserved genes erpA (APO_1556) and rpsU (APO_0575), and these genes were transcribed in the same orientation in all A. pleuropneumoniae serovar reference strains.
	25685259	Standards in genomic sciences	Complete genome sequence of Pseudomonas fluorescens strain PICF7, an indigenous root endophyte from olive (Olea europaea L.) and effective biocontrol agent against Verticillium dahliae.	https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/1944-3277-10-10	Y				x	Notably, two genes have been found to show high similarity with attC and attG genes from Agrobacterium, whose mutation leads to lack of attachment on tomato, carrot, and Bryophyllum daigremontiana
	28866997	International journal of systematic and evolutionary microbiology	Kushneria konosiri sp. nov., isolated from the Korean salt-fermented seafood Daemi-jeot.	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002170#tab2	N					NONE
	27351589	PloS one	Bacillus pumilus SAFR-032 Genome Revisited: Sequence Update and Re-Annotation.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157331						All de novo assembled complete B. pumilus genomes shows absolute conservation of gene order in the region immediately downstream of the replication origin, between dnaA and metS (metG) genes.
										
15/01/22	29930060	Genome announcements	Complete Genome Sequence of Mycobacterium shigaense.	https://doi.org/10.1128/genomeA.00552-18	Y					NONE
	29853498	Genome announcements	Complete Genome Sequence of Pseudomonas stutzeri Type Strain SGAir0442, Isolated from Singapore Air Samples.	https://journals.asm.org/doi/10.1128/genomeA.00424-18	Y					NONE
	22965105	Journal of bacteriology	Complete genome sequence of the porcine isolate Enterococcus faecalis D32.	https://journals.asm.org/doi/10.1128/JB.01298-12?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y					NONE
	22180813	Standards in genomic sciences	Genome sequence of the moderately thermophilic halophile Flexistipes sinusarabici strain (MAS10).	https://standardsingenomics.biomedcentral.com/articles/10.4056/sigs.2235024	Y					NONE
	31246166	International journal of systematic and evolutionary microbiology	Weissella cryptocerci sp. nov., isolated from gut of the insect Cryptocercus kyebangensis	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003564#tab2	N					NONE
	30747615	International journal of systematic and evolutionary microbiology	Salinibacterium hongtaonis sp. nov., isolated from faeces of Tibetan antelope (Pantholops hodgsonii) on the Qinghai-Tibet Plateau.	http://ijs.microbiologyresearch.org/pubmed/content/journal/ijsem/10.1099/ijsem.0.003277	N					NONE
	27684472	PloS one	Genomic Analysis Reveals Novel Diversity among the 1976 Philadelphia Legionnaires' Disease Outbreak Isolates and Additional ST36 Strains.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0164074	Y				x	MompS is a Legionella cell surface virulence factor important for adherence [60] and entry [61] into phagocytes, and it is one of 7 genes included in the international sequence-based typing (SBT) scheme. This momp gene complement and structural organization is  conserved in all additional ST36 strains sequenced in the present study,  as well as in all Legionella reference genomes examined (data not shown).
	19775431	BMC genomics	Complete genome sequence of the sugarcane nitrogen-fixing endophyte Gluconacetobacter diazotrophicus Pal5.	https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-10-450	Y				x	We also searched for exclusively conserved CDS between GDI and Azoarcus sp. BH72, as these two bacteria are currently the only diazotrophs among the endophytes sequenced. The result confirmed the presence in both endophytes of the nif cluster (figure 2, around 0.5 MB) and genes from the putative gum cluster are only conserved within Azoarcus sp. BH72 and GDI (Additional file 10).
										In bacteria, two porins (aqpZ and glpF) regulate the movement of water and aliphatic alcohols across cell membranes
									x	An unusual observation is the presence in the GDI genome of two copies of the chaperonin genes groES (GDI2050, GDI2648) and groEL (GDI2049, GDI2647), which are usually present as single copy in bacteria.
									x	Oxidation steps of ent-kaurene, necessary to produce GA1 and GA3, may be catalyzed by two cytochromes P450 (GDI2364 and GDI2593), homologs of which are absent in other acetobacteraceae genomes, thus suggesting a likely specific role in G. diazotrophicus.
										Type IV secretion systems (T4SS) are multi-subunit cell envelope-spanning structures, ancestrally related to bacterial conjugation machines, that transfer proteins, DNA and nucleoprotein complexes across membranes [61]. Moreover, T4SSs have been described as essential pathogenicity factors and recently it has been indicated that TSS4 can also increase host adaptability in Bartonella sp.
										GDI has 4 complete T4SS in the chromosome which are similar to bacterial conjugation machines (trb) of Agrobacterium tumefasciens [62] and Ti (tumor inducing) Enterobacter IncP plasmid R751
									x	Another difference is that, in Agrobacterium tumefasciens and Enterobacter IncP plasmid R751, the first gene in the operon is traI, which is an essential signal for the quorum-sensing regulation of the Ti plasmid conjugation transfer
									x	Next to the motility cluster there is a putative tad locus (Flp-1, cpaABC, cpaEF, and tadBCDG) which probably encodes the machinery for the synthesis of Flp (fimbrial low-molecular-weight protein) pili, which form a subfamily in the type IVb pilus family. In Actinobacillus, Haemophilus, Pasteurella, Pseudomonas, Yersinia and Caulobacter. Flp pili are essential for biofilm formation, colonization and pathogenesis [68].
									x	Finally, comparison of genome sequences of Gluconacetobacter diazotrophicus and Azoarcus sp. BH72 shows that these endophytic diazotrophic bacteria adopted very different strategies to colonize plants. A limited number of genomic features, such as the large number of TonB receptors, the gum-like and nif clusters, and osmotolerance mechanisms are common to both endophytic diazotrophic bacteria.
	26769932	Genome announcements	Genome Sequence of Nitrosomonas communis Strain Nm2, a Mesophilic Ammonia-Oxidizing Bacterium Isolated from Mediterranean Soil.	https://journals.asm.org/doi/10.1128/genomeA.01541-15	Y					Three operons for hydroxylamine dehydrogenase (haoAB-cycAB) were found, one of which lacked a copy of cycB, a feature found in both Nitrosomonas europaea and Nitrosomonas eutropha (8, 9).
									x	Although the majority of AOB genomes contain nirK (15), the gene for the copper-containing nitrite reductase, no homologues were found in N. communis for either nirK or the cytochrome cd1 nirS nitrite reductases; however, a recent study showed that NirK is not required for nitrifier denitrification in N. europaea (16).
	26798087	Genome announcements	Complete Genome Sequence of Serratia marcescens SmUNAM836, a Nonpigmented Multidrug-Resistant Strain Isolated from a Mexican Patient with Obstructive Pulmonary Disease.	https://journals.asm.org/doi/10.1128/genomeA.01417-15	Y					NONE
	25814605	Genome announcements	Whole-Genome Sequencing of Mycoplasma mycoides subsp. mycoides Italian Strain 57/13, the Causative Agent of Contagious Bovine Pleuropneumonia.	https://doi.org/10.1128/genomeA.00197-15	Y					NONE
	21622741	Journal of bacteriology	Genome sequences of the zoonotic pathogens Chlamydia psittaci 6BC and Cal10.	https://journals.asm.org/doi/10.1128/JB.05277-11?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y					NONE
	26758181	mBio	Nascent Genomic Evolution and Allopatric Speciation of Myroides profundi D25 in Its Transition from Land to Ocean.	https://journals.asm.org/doi/10.1128/mBio.01946-15	Y					NONE
	26040579	International journal of systematic and evolutionary microbiology	Sphingopyxis fribergensis sp. nov., a soil bacterium with the ability to degrade styrene and phenylacetic acid.	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.000371#tab2	N					NONE
	25798594	PloS one	Complete genome sequence of Borrelia afzelii K78 and comparative genome analysis.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0120548	Y				x	Five other non-coding RNA sequences have been identified in the K78 genome, the RNA subunit of RNase P (rnpB) (Rfam family RF00010), the small signal recognition particle RNA (ffs) (RF00169), a transfer-messenger RNA (tmRNA) (RF00023) and analogs to dsrA and ssrS (6S RNA). In B. burgdorferi, dsrA has been shown to be involved in translational regulation of RpoS [71], ssrS binds to the RNA polymerase holoenzyme and regulates gene expression at the shift from exponential growth to stationary phase [72]. The genes ffs, dsrA and ssrS have previously not been annotated in any of the complete genomes of the different Borrelia species.
									x	Borrelia genomes contain an exceptional high number of lipoproteins.
									x	Many genes located on the conserved lp54 plasmid have low sequence identity across Borrelia species, among them are the genes encoding decorin binding proteins A and B (dbpA and dbpB, Pfam74) and the complement regulator-acquiring surface protein 1, CRASP-1, paralogous family 54 (Pfam54). 
									x	Even though multiple insertions and deletions occur at this location, the overall gene structure of the cp26 plasmids is highly conserved across Borrelia species, underlining the high importance of cp26.
										Besides the lower conservation of ospC, a certain degree of sequence variability is seen in several intergenic regions, most notably in a region upstream of oppAIV (coding for an extracellular solute-binding protein of an oligopeptide ABC transporter).
									x	Proteins with KID-repeats (IPR003900) are found on the cp32 and lp28 type plasmids of K78. These repeats contain the tripeptides KID and/or KIE, and are characteristic of the Bdr family (Pfam80), which are inner membrane proteins unique to Borrelia.
									x	The membrane lipoprotein VlsE is part of the immune escape mechanisms of Borrelia.
	24194836	PloS one	Cultivation and complete genome sequencing of Gloeobacter kilaueensis sp. nov., from a lava cave in Kīlauea Caldera, Hawai'i.	https://dx.plos.org/10.1371/journal.pone.0076376	Y	only one gloeobacter genome in Genbank				This is an interesting observation because CRISPR regions have also been reported in microbes in hot-spring photoautotrophic mats in volcanically active Yellowstone National Park and this may indicate higher virus activities in geothermally active areas [18].
										Genes sqdB (encoding sulfolipid biosynthesis protein) and sqdX (encoding UDP-sulfoquinovose:DAG sulfoquinovosyltransferase) are required for synthesis of sulfoquinovosyl diacylglycerol (SQDG) which is in turn required for photosystem stabilization (the product SQDB is usually found in thylakoid membranes) in other cyanobacteria, but is absent from G. violaceus PCC 7421T
										The Vipp1 protein is also known to be essential for the formation of thylakoid membrane in Synechocystis [22] and Arabidopsis thaliana [23], and has been detected in G. violaceus PCC 7421T, but the ortholog in PCC 7421T (which is annotated as phage shock protein, PspA) seems to be missing the conserved C-terminal region in its amino acid sequence, and is not expected to function the same way as Synechocystis or plant Vipp1 protein
										The biosynthesis pathway for neurosporene, a sub-class of that for trans-lycopene biosynthesis I, converts all-trans-phytoene to all-trans-neurosporene; this is utilized by purple non-sulfur bacteria such as Rhodobacter capsulatus and Rh. sphaeroides to produce the pigment spheroidene, required in the photoreaction center of these bacteria [26].
	22448227	PloS one	The passive yet successful way of planktonic life: genomic and experimental analysis of the ecology of a free-living polynucleobacter population.	https://dx.plos.org/10.1371/journal.pone.0032772	Y				x	Sulfur oxidization pathways are also present in Cupriavidus and Ralstonia strains (e.g.
									x	By contrast, most genomes of Cupriavidus and Ralstonia strains encode putative transporters for carbohydrates.
									x	The presence of both two catalase and two superoxide dismutase genes in one genome is not unusual among Betaproteobacteria.
									x	In addition, a glycolate permease gene as found in Ralstonia/Cupriavidus strains is missing in QLW-P1DMWA-1.
									x	In addition, a glycolate permease gene as found in Ralstonia/Cupriavidus strains is missing in QLW-P1DMWA-1.
									x	The genome shares several characteristics with genomes of marine oligotrophs [46]. This includes, for instance, the presence of only a single ribosomal operon, and underrepresentation of genes assigned to the COG categories N (cell motility and secretion), T (signal transduction), V (defense), and K (transcription). An overrepresentation of categories Q (secondary metabolites biosynthesis, transport and catabolism) and I (lipid transport and metabolism), however, was not observed (data not shown).
									x	Furthermore, the commonly relatively low G+C content of Polynucleobacter genomes (<50 mol% vs. >60 mol% for the majority of other Burkholderiaceae) as well as previous estimations of genome sizes [7] suggest that reduced genome sizes represent a common feature of Polynucleobacter bacteria.
	26404608	Genome announcements	Complete Genome Sequence of Pelosinus fermentans JBW45, a Member of a Remarkably Competitive Group of Negativicutes in the Firmicutes Phylum.	https://journals.asm.org/doi/10.1128/genomeA.01090-15	Y					NONE
	28301471	PloS one	Genomic confirmation of vancomycin-resistant Enterococcus transmission from deceased donor to liver transplant recipient.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0170449	Y					NONE
	26301592	PloS one	Genome Sequence Analysis of the Naphthenic Acid Degrading and Metal Resistant Bacterium Cupriavidus gilardii CR3.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0132881	Y				x	Comparing to other Cupriavidus strains, we find that czc, pbr, chr, cus genetic resistance determinants are common in all Cupriavidus bacteria.
	24324632	PloS one	Bacterial endosymbiosis in a chordate host: long-term co-evolution and conservation of secondary metabolism.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0080822	Y				x	It should be noted that in our analysis we did not include members of the Chlamydieae and Planctomycetes lineages, which do not possess ftsZ but may use other methods to produce a peptidoglycan septum
									x	Like other Anaplasmataceae, Ca. X. pacificiensis lacks a functional LPS biosynthetic pathway [37] (see Fig. 14), but unlike the majority of this family, it maintains many genes involved in flagellar assembly [54].
									x	For instance, although most Ehrlichia do not possess flagellar assembly genes, they have been shown to play a role in the growth of another intracellular pathogen, Legionella pneumophila
									x	The genes in this apparatus (see Fig. 14) are in line with other members of the Anaplasmataceae, which commonly lack homologs of virB1, virB2, virB5 and virB7
	29788909	BMC genomics	Whole genome analysis reveals the diversity and evolutionary relationships between necrotic enteritis-causing strains of Clostridium perfringens.	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-018-4771-1	Y		strain-specific			The high level of diversity in chicken isolates suggests there is no reliable factor that defines a chicken strain of C. perfringens, however, disease-causing strains can be defined by the presence of netB-encoding plasmids.
							strain-specific			By contrast, alpha toxin is chromosomally encoded and is carried by all C. perfringens strains.
	30665414	BMC genomics	The Anaplasma ovis genome reveals a high proportion of pseudogenes.	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-018-5374-6	Y				x	As with all Anaplasma (Rickettsiales) species reported to date, A. ovis contains a single split operon encoding the ribosomal RNA genes, with 23S and 5S genes being transcribed as one polycistron and the 16S gene being transcribed separately.
									x	VirB1 and VirB5 have not been identified for any Anaplasmaceae
									x	The AOV_01200 gene is unique among Anaplasma species genomes.
	27034492	Genome announcements	Complete Genome Sequence of Mycobacterium bovis Strain BCG-1 (Russia).	https://journals.asm.org/doi/10.1128/genomeA.00182-16	Y					NONE
	23405126	PloS one	Exploring the diversity of Arcobacter butzleri from cattle in the UK using MLST and whole genome sequencing.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0055240	Y					NONE
	22020138	The Journal of antimicrobial chemotherapy	Antibiotic resistance islands in A320 (RUH134), the reference strain for Acinetobacter baumannii global clone 2.	https://academic.oup.com/jac/article/67/2/335/701296	N					NONE
	17540897	Science (New York, N.Y.)	Legumes symbioses: absence of Nod genes in photosynthetic bradyrhizobia.	https://www.science.org/doi/10.1126/science.1139548?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub++0pubmed&	N				x	Synthesis of the Nod-factor chitin oligomer backbone requires the activity of three specific enzymes, encoded by the nodABC genes, which are present in all rhizobia characterized thus far.
									x	Nod factor signal molecules are recognized by plant kinases of the LysM-RLKs family, which, in turn, initiate a developmental program in the legume host resulting in the formation of the nodule structure. The ubiquitous presence of nod genes and Nod factors in all rhizobia led to the development of a universal “lock-and-key” hypothesis (5, 6), which states that all symbiotic legumes and rhizobia have host nodulation determinants and homologs of the known nodulation genes, respectively.
									x	According to their host specificity within different species of Aeschynomene, two groups of photosynthetic Bradyrhizobium have been described (8): Group I strains contain the common nodulation genes nodABC and form nodules on all stem-nodulating Aeschynomene species (9), whereas nodulation ability in group II strains is restricted to a few species, including A. sensitiva and A. indica. The nod genes have not been detected in group II strains.
									x	Most of the 1343 genes in common were homogeneously distributed on the genomes (Fig. 1), except for genes involved in photosynthesis, which were clustered in a 50-kb region. This region, designated the photosynthesis gene cluster (PGC), is common in purple photosynthetic bacteria.
										This is in contrast to all rhizobial genomes characterized to date (15–21), which have nodulation and nitrogen fixation genes clustered either on plasmids or in large chromosomal symbiotic islands, for example, as observed in B. japonicum USDA110 (see fig. S2).
	18192393	Journal of bacteriology	Genome of the actinomycete plant pathogen Clavibacter michiganensis subsp. sepedonicus suggests recent niche adaptation.	https://journals.asm.org/doi/10.1128/JB.01598-07?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y					High-G+C-content gram-positive coryneform bacteria cause economic losses in several crops worldwide, yet the relatively slow in vitro and in planta growth and general genetic intractability of these bacteria have long been deterrents to successful identification of the specific molecular mechanisms by which they cause diseases in plants.
									x	The relatively high chromosomal G+C content is typical of free-living actinomycetes, as is the slightly lower G+C content of the plasmids.
	18375554	Journal of bacteriology	Complete genome sequence of uropathogenic Proteus mirabilis, a master of both adherence and motility.	https://journals.asm.org/doi/10.1128/JB.01981-07?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y					The localization of all flagellar genes within one contiguous locus is unusual, if not unique, among bacterial species.
										However, several redundant enzymes that are present in these pathways in E. coli are missing in P. mirabilis, including fumAB, tktB, talA, pfkB, and gpmI.
	17971880	PloS one	Molecular correlates of host specialization in Staphylococcus aureus.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0001120	Y					NONE
	25237024	Genome announcements	Whole-genome sequences of 24 Brucella strains.	https://journals.asm.org/doi/10.1128/genomeA.00915-14	Y					NONE
	26061173	PloS one	Azotobacter Genomes: The Genome of Azotobacter chroococcum NCIMB 8003 (ATCC 4412).	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0127997	Y					Pfam analysis shows that the DDE and DUF772 transposase protein families are, at 109 and 65 respectively, the two most frequently occurring protein families in the Ac-8003 genome whereas, in general, ABC transporters or regulatory helix-turn-helix family proteins are most common in free-living bacteria.
										The presence of inteins in prokaryotes is rare but where they occur they are frequently located in ribonucleoside reductases as first seen in several Archaea [49] and the cyanobacterium Anabaena 7120
										CydX has recently been shown to be a third subunit of the membrane-bound enzyme in E. coli
										In Av-DJ the rnfA1 operon is followed by a cluster of 15 genes probably constituting a genome island for a potential Type IV secretion system (Avin_50750 to 50890) which were first identified in Vibrio cholerae, Burkholderia mallei and Pseudomonas aeruginosa
						(only 2 complete Azotobacter genomes)				They also include the very highly conserved and well studied nif and vnf gene clusters for the Mo- and V-containing heterometal nitrogenases but not the anf-encoded Fe-only nitrogenase system.
										Also conserved with only minor differences are the genes for a multiplicity of terminal oxidases thought to be important for respiratory protection of nitrogenase and the membrane-bound NiFe-hydrogenase.
									x	One of the plasmids in Ac-8003, pAcX50c, belongs to the IncP-1 incompatability group and the genomic analysis shows it contains tra and trb gene clusters found in the IncP1-γ family of plasmids from Pseudomonads.
	26842785	International journal of systematic and evolutionary microbiology	Caldimicrobium thiodismutans sp. nov., a sulfur-disproportionating bacterium isolated from a hot spring, and emended description of the genus Caldimicrobium.	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000947#tab2	Y					NONE
	21304698	Standards in genomic sciences	Complete genome sequence of Geodermatophilus obscurus type strain (G-20).	https://environmentalmicrobiome.biomedcentral.com/articles/10.4056/sigs.711311	Y		(only one genome of genus is sequenced)			NONE
	21304739	Standards in genomic sciences	Complete genome sequence of Marinobacter adhaerens type strain (HP15), a diatom-interacting marine microorganism.	https://environmentalmicrobiome.biomedcentral.com/articles/10.4056/sigs.922139	Y					NONE
	21738717	PloS one	Comparative genomics and transcriptomics of Propionibacterium acnes.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0021581	Y				x	The methylmalonyl-CoA pathway (Wood-Werkman cycle) of propionate formation employed by P. acnes and other Propionibacteria grown under anaerobic conditions has been well studied; the main energy-conserving step is accomplished by electron transport to fumarate, a process termed fumarate respiration, and catalyzed by the fumarate reductase (SdhABC)
									x	Upregulation of genes encoding the cytochrome bd oxidase (PPA0175, cydB, PPA0176, cydA), a respiratory endoxidase, which, in Escherichia coli, favors survival under low oxygen tensions [31], was detected in the EP.
									x	This system could be a powerful way for P. acnes to counteract the acidification of the culture medium in the course of propionate formation, akin to Streptococcus suis and sourdough lactic acid bacteria, which use the ADI pathway to facilitate survival in acidic conditions
									x	The ADI pathway has also been reported to function as an additional energy conserving pathway during anaerobic growth of Bacillus licheniformis and Pseudomonas aeruginosa
									x	OsmC-family proteins apparently function as peroxiredoxins [37]. PPA0581 encodes a protein with homology to Hsp31 of E. coli, which has chaperone activity [38].
									x	HicB is part of a cluster, HicAB, which is predicted to be a RNA-targeting toxin-antitoxin (TA) system present in a variety of bacteria [39]; hicAB transcription in E. coli was shown to be strongly induced by nutrient starvation
	20023012	Journal of bacteriology	Completed genome sequence of the anaerobic iron-oxidizing bacterium Acidovorax ebreus strain TPSY.	https://journals.asm.org/doi/10.1128/JB.01449-09?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed	Y				x	The core proteins, the cas1 and cas2 genes, and a csn1 gene formed the CRISPR subtype Nmeni, which is associated with vertebrate pathogens and commensals
										However, the lack of typical pathogenic type I or III secretion systems such as the hec cluster of Dickeya chrysanthemi (15) or the inv/spa system of Salmonella enterica serovar Typhimurium (13) indicated that TPSY would probably not exhibit a pathogenic lifestyle.
	26203334	Standards in genomic sciences	Complete genome sequence of endophytic nitrogen-fixing Klebsiella variicola strain DX120E.	https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-015-0004-2	Y					NONE
	30403586	International journal of systematic and evolutionary microbiology	Klebsiella huaxiensis sp. nov., recovered from human urine.	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003102#tab2	N					NONE
	26900859	PloS one	Complete Genome Sequence and Comparative Genomics of a Novel Myxobacterium Myxococcus hansupus.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0148593	Y	Excel sheet available: pone.0148593.s007			x	We found that several Pfam clans such as protein kinase domain [CL0016], PP-binding (CL0314), PKinase (CL0016), CoA-acyltrans (CL0149), Peptidase_PA (CL0124), GroES (CL0296), AB_hydrolase (CL0028), Thiolase (CL0046), CheY (CL0304), AMP-binding_C (CL0531), HTH (CL0123) etc. are overrepresented in order Myxococcales members by more than 200% as compared to non-Myxococcales δ-proteobacteria.
									x	Besides this, many Pfam clans such as EGF (CL0001), Trefoil (CL0066), gCrystallin (CL0333), Aerolisin_ETX (CL0345), Hydrophilin (CL0385), Viral_Gag (CL0148), zf-FYVE-PHD (CL0390), HMG-box (CL0114), PLAT (CL0321), EsxAB (CL0352), Frag1-like (CL0412), Hexosaminidase (CL0546) etc. are particularly present in genus Myxococcus members and not in the non-Myxococcales δ-proteobacteria.
	18350144	PloS one	Comparative analysis of Acinetobacters: three genomes for three lifestyles.	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0001805	Y				x	As reported in A. baylyi str. ADP1 [9], the central metabolism study of both A. baumannii strains confirms the lack of several key enzymes: a glucokinase, proteins of a phosphotransferase transport system, a 6-phosphofructokinase and a pyruvate kinase. The latter activity which exists in Pseudomonas spp. seems to be a good marker to clearly delineate both genera. Few Acinetobacter isolates are able to grow on glucose as sole carbon source and this property was early used as a main criterion to classify Acinetobacter species [32]. The Embden–Meyerhof–Parnas glycolysis can certainly not be performed in Acinetobacter spp. given the lack of the previously mentioned enzymes.
